experience_level,employment_type,salary_in_usd,company_location,company_size,job_category
Senior,Full-time,84500,United States,M,Data Architecture and Modeling
Senior,Full-time,130000,United States,M,Data Science and Research
Senior,Full-time,120000,United States,M,Data Science and Research
Mid-level,Full-time,100000,United States,M,Data Engineering
Mid-level,Full-time,70000,United States,M,Data Engineering
Mid-level,Full-time,200000,United States,M,Data Engineering
Mid-level,Full-time,150000,United States,M,Data Engineering
Senior,Full-time,253430,United States,M,Data Science and Research
Senior,Full-time,200740,United States,M,Data Science and Research
Senior,Full-time,234900,United States,M,Data Science and Research
Senior,Full-time,97300,United States,M,Data Science and Research
Senior,Full-time,206000,United States,M,Machine Learning and AI
Senior,Full-time,165000,United States,M,Machine Learning and AI
Entry-level,Full-time,70000,United States,M,Data Analysis
Entry-level,Full-time,60000,United States,M,Data Analysis
Mid-level,Full-time,328000,United States,M,Data Science and Research
Mid-level,Full-time,258000,United States,M,Data Science and Research
Senior,Full-time,190000,United States,M,Data Engineering
Senior,Full-time,170000,United States,M,Data Engineering
Senior,Full-time,111111,Poland,M,Data Engineering
Senior,Full-time,66666,Poland,M,Data Engineering
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,162000,United States,M,Data Science and Research
Executive,Full-time,230000,Canada,M,BI and Visualization
Executive,Full-time,155000,Canada,M,BI and Visualization
Entry-level,Full-time,70000,United States,M,Data Science and Research
Entry-level,Full-time,64000,United States,M,Data Science and Research
Senior,Full-time,165000,United States,M,Data Analysis
Senior,Full-time,180000,United States,M,Data Science and Research
Senior,Full-time,162000,United States,M,Data Science and Research
Senior,Full-time,91000,United States,L,Data Analysis
Entry-level,Full-time,219000,United States,M,Data Science and Research
Entry-level,Full-time,123000,United States,M,Data Science and Research
Mid-level,Full-time,212000,United States,M,Data Science and Research
Mid-level,Full-time,93300,United States,M,Data Science and Research
Entry-level,Full-time,157600,United States,M,BI and Visualization
Entry-level,Full-time,96800,United States,M,BI and Visualization
Entry-level,Full-time,137100,United States,M,Data Analysis
Entry-level,Full-time,109700,United States,M,Data Analysis
Mid-level,Full-time,83300,United States,M,Leadership and Management
Mid-level,Full-time,47500,United States,M,Leadership and Management
Senior,Full-time,304750,United States,M,Data Engineering
Senior,Full-time,160000,United States,M,Data Engineering
